Pbase,Ramping,m_out
0,0,0
0,0,0
0,0,0
0,0,0
0,-0.05,0
0,-0.05,0
0,-0.05,0
0,-0.05,0
0,-0.1,0
0,-0.1,0
0,-0.1,0
0,-0.1,0
0,-0.15,0
0,-0.15,0
0,-0.15,0
0,-0.15,0
0,-0.2,0
0,-0.2,0
0,-0.2,0
0,-0.2,0
3.123724088,-0.3,2.172633138
7.021004915,-0.3,1.284882939
5.89514296,-0.3,1.284882939
4.672413245,-0.3,1.284882939
5.116674441,-0.5,1.284882939
4.919974227,-0.5,1.284882939
4.791763375,-0.5,1.284882939
4.719456321,-0.5,1.284882939
5.548104015,-0.6,1.284882939
5.869978013,-0.6,1.284882939
6.16521119,-0.6,1.284882939
6.467232148,-0.6,1.284882939
6.745373565,-0.7,1.284882939
7.019458343,-0.7,1.284882939
7.126264846,-0.7,1.284882939
7.245211663,-0.7,1.284882939
7.308420256,0,1.284882939
7.377735679,0,1.284882939
7.376100421,0,1.284882939
7.331710752,0,1.284882939
7.239990189,0.5,1.284882939
7.162822862,0.5,1.284882939
7.268707755,0.5,1.284882939
7.462566929,0.5,1.284882939
7.722998464,0.8,1.284882939
7.970537334,0.8,1.284882939
8.04202548,0.8,1.284882939
8.081258626,0.8,1.284882939
8.013784346,1,1.284882939
7.968949607,1,1.284882939
7.970409675,1,1.284882939
7.986301487,1,1.284882939
8.034840044,1,1.284882939
8.087176099,1,1.284882939
8.165386735,1,1.284882939
8.241583959,1,1.284882939
7.97699496,0.8,1.284882939
8.036549046,0.8,1.284882939
8.033602864,0.8,1.284882939
8.003484376,0.8,1.284882939
7.306109569,0.7,1.284882939
7.272275061,0.7,1.284882939
7.259439025,0.7,1.284882939
7.250726179,0.7,1.284882939
6.531761315,0.6,1.284882939
6.471246879,0.6,1.284882939
6.37711445,0.6,1.284882939
6.275006531,0.6,1.284882939
0,0.4,0
0,0.4,0
0,0.4,0
0,0.4,0
0,-0.7,0
0,-0.7,0
0,-0.7,0
0,-0.7,0
0,-0.85,0
0,-0.85,0
0,-0.85,0
0,-0.85,0
0,-0.6,0
0,-0.6,0
0,-0.6,0
0,-0.6,0
0,-0.4,0
0,-0.4,0
0,-0.4,0
0,-0.4,0
0,-0.2,0
0,-0.2,0
0,-0.2,0
0,-0.2,0
0,0,0
0,0,0
0,0,0
0,0,0
