Zone,Ad1,Ad2,Tc,Mmax,a1,a2,a3,a4,a5,a6
1,2,3,18,0.52793091,0.946190455,0.025242393,0.173608845,0.383289947,2.42E-13,0.023809545
2,1,0,18,0.56617236,0.5,0.056759521,0.340784425,0,0.47,0
3,1,7,18,0.21547656,0.5,0.042219496,0.572950101,2.48E-10,0.47,0
4,3,5,18,0.03989817,0.926577119,0.015776054,1,0.480246241,0.043422881,3.36E-13
5,3,4,18,0.04085172,0.5,0.00384705,1,0.808263827,0.091969195,0.378030805
6,4,5,18,0.03714633,0.876936561,0.023479878,1,0.857668347,0.093063439,0
7,8,3,18,0.26322426,0.535278824,0.009486009,0.705384688,1,5.03E-14,0.440753055
8,7,3,18,0.27065025,0.515809463,0.015698423,0.694678132,0.999999998,0.02128631,0.433474335
9,10,0,18,0.74943531,0.937584559,0.032483712,0.136243856,0.21006232,0.032415441,0
10,9,0,18,1.287,0.508160582,0.059383485,0.126561829,0.033187203,0.461839418,0
11,9,12,18,0.13857129,0.5,0.015390738,0.888554468,0.73206742,0.376955386,0.093044614
12,9,11,18,0.05653206,0.5,0.032408501,1,0.088020231,0.226600461,0.243399539
13,9,10,18,0.12399543,0.72110008,0.025918512,0.555655686,0.282822013,0.209651006,0.039248913
14,9,0,18,0.15456519,0.793740047,0.049255792,1,2.73E-11,0.176259953,0
15,16,10,18,0.85861269,0.500000003,0.051339954,0.260017865,0,0.470000003,0
16,15,10,18,0.16213509,0.5,0.057828285,1,0,0.27093575,0.19906425
17,10,0,18,0.17521218,0.5,0.048446491,0.989026109,1.38E-08,0.47,0
