,m_tar_rec
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,2.77686692498
21,4.57205556008
22,3.35454373534
23,3.22349022189
24,3.16469960638
25,3.04154191714
26,2.92983720176
27,2.85220680799
28,3.19591462692
29,3.28630925421
30,3.37754645607
31,3.48312163137
32,3.4843928436
33,3.53594955652
34,3.49303232611
35,3.47224235282
36,3.96112489717
37,3.97067993415
38,3.94427165878
39,3.89182776154
40,4.19519030201
41,4.16115354135
42,4.21904364601
43,4.31847502438
44,4.66638310765
45,4.7241003921
46,4.69590251147
47,4.65787441749
48,4.71783296371
49,4.70376683479
50,4.7079633762
51,4.71377998854
52,4.73519167851
53,4.75663842389
54,4.79007466436
55,4.82105922598
56,4.54378588413
57,4.5532517239
58,4.53355606821
59,4.48995275939
60,4.03462252682
61,3.99471811117
62,3.94862476652
63,3.90741141834
64,3.41404297941
65,3.42742452864
66,3.40102659906
67,3.37316452956
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
